Eduardo Camavinga 	14	511	0	0	0	0	8	0	0% 	1	1	100% 	0	2	22	8	3	12	0	0	1	0	0	0	0	0	0	0	2	0	9	7	91% 	0	0	0	0	0	0
Egoitz Arana 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
El Bilal Touré 	8	568	3	1	0	0	12	6	50% 	1	0	0% 	0	0	1	10	2	1	0	0	0	0	0	0	0	0	0	0	1	0	2	4	65% 	0	0	0	0	0	0
Emilio Bernad 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Enes Ünal 	14	1216	4	2	0	0	31	12	39% 	9	2	22% 	2	4	39	21	0	5	0	0	3	0	0	0	1	0	0	0	1	0	8	10	64% 	0	0	0	5	3	2
Enzo Roco 	11	795	0	0	0	0	4	0	0% 	0	0	0% 	0	0	8	17	6	5	0	0	2	0	1	0	0	0	0	0	5	1	2	0	86% 	0	3	0	0	0	0
Eray Cömert 	11	871	1	0	0	0	7	4	57% 	1	0	0% 	0	0	9	16	12	7	0	0	3	1	0	0	0	0	0	0	6	0	1	2	88% 	0	5	0	0	0	0
Eric García 	9	608	1	0	0	0	3	1	33% 	0	0	0% 	0	0	2	11	9	8	0	0	2	0	1	0	0	0	0	0	6	0	0	0	91% 	0	2	0	0	0	0
Esteban Saveljich 	1	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Etta Eyong 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Ezequiel Ponce 	13	510	2	0	0	0	12	5	42% 	1	0	0% 	0	2	4	18	0	4	0	0	2	0	0	0	0	0	0	0	1	0	1	4	73% 	0	0	0	0	0	0
Fabrizio Angileri 	8	516	0	0	0	0	3	0	0% 	9	1	11% 	0	1	1	6	6	5	0	0	2	1	1	0	0	0	0	0	3	0	2	0	57% 	0	0	0	0	0	0
Fali 	8	556	0	0	0	0	4	1	25% 	0	0	0% 	0	1	6	3	3	7	0	0	2	0	0	0	0	0	0	0	3	0	0	2	77% 	0	1	0	0	0	0
Fede San Emeterio 	13	790	0	0	0	0	3	0	0% 	0	0	0% 	0	0	13	22	4	4	0	0	4	0	0	0	0	0	0	0	7	0	1	1	82% 	0	0	0	0	0	0
Federico Fernández 	1	90	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57% 	0	1	0	0	0	0
Federico Valverde 	14	1108	6	2	0	0	31	14	45% 	10	2	20% 	0	2	10	4	5	9	0	0	1	0	0	0	0	0	0	0	1	0	8	24	90% 	0	2	0	2	0	0
Felipe 	2	180	0	0	0	0	1	0	0% 	0	0	0% 	0	0	3	4	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	2	92% 	0	0	0	0	0	0
